surface,count,split_as,phrase_count,example,verdict,note
mein,15,me in,0,,,
ringdur,15,ring dur,41,,,
sadhu,15,sad hu,0,,,
aseng,15,as eng,0,,,
malini,15,mali ni,0,,,
suna,15,su na,0,,,
pynjyrngam,15,pyn jyrngam,0,,,
iabud,15,ia bud,24,,,
khandu,15,khan du,0,,,
rithor,15,ri thor,60,,,
saha,15,sa ha,168,,,
riewkhlai,15,riew khlai,2,,,
pyniphuh,15,pyn iphuh,0,,,
khatwai,15,khat wai,0,,,
khongbuh,15,khong buh,0,,,
dangim,15,da ngim,2,,,
sengkam,15,seng kam,401,,,
pyndapbor,15,pyndap bor,0,,,
sohktung,15,soh ktung,0,,,
mawniuh,15,maw niuh,0,,,
kibor,15,ki bor,3136,,,
lashim,15,la shim,2082,,,
kenstar,15,ken star,0,,,
imon,15,i mon,10,,,
rate,15,ra te,0,,,
hamren,15,ham ren,0,,,
shangrit,15,shang rit,0,,,
jingaibor,15,jing aibor,0,,,
mawmer,15,maw mer,2,,,
jingpyndait,15,jing pyndait,0,,,
arear,15,are ar,0,,,
shaphi,15,sha phi,20,,,
hehduh,15,heh duh,204,,,
seibor,15,sei bor,2,,,
aikam,15,ai kam,185,,,
umsawli,15,umsaw li,0,,,
ngiat,15,ngi at,0,,,
rishi,15,ri shi,3,,,
lumrit,15,lum rit,7,,,
bashemphang,15,ba shemphang,21,,,
joplin,15,jop lin,0,,,
pyntyrkhong,15,pyn tyrkhong,9,,,
jingling,15,jing ling,0,,,
labuh,15,la buh,2277,,,
ratna,15,rat na,0,,,
sabka,15,sab ka,3,,,
khlehlang,15,khleh lang,34,,,
komen,15,ko men,0,,,
bari,15,ba ri,12,,,
synram,15,syn ram,0,,,
nongpathaw,15,nong pathaw,0,,,
sangram,15,sang ram,0,,,
sngapjar,15,sngap jar,121,,,
wahbah,15,wah bah,15,,,
umsur,15,um sur,0,,,
tyngshai,15,tyng shai,0,,,
lariti,15,la riti,4,,,
nonglyngkien,15,nong lyngkien,0,,,
kabamut,15,ka bamut,0,,,
amred,15,am red,0,,,
asaram,15,as aram,0,,,
nongshillong,14,nong shillong,9,,,
mukroh,14,mu kroh,0,,,
pohshnong,14,poh shnong,7,,,
jingpynbam,14,jing pynbam,5,,,
iabiang,14,ia biang,22,,,
arbor,14,ar bor,0,,,
sngewdonkam,14,sngew donkam,54,,,
hakajuh,14,ha kajuh,1769,,,
adalat,14,ada lat,0,,,
pynshailang,14,pynshai lang,3,,,
erlangthari,14,er langthari,3,,,
shongdum,14,shong dum,23,,,
haat,14,ha at,0,,,
lumsohphoh,14,lum sohphoh,0,,,
nongkhyriem,14,nong khyriem,0,,,
photo,14,pho to,0,,,
jingshitrhem,14,jing shitrhem,0,,,
bharati,14,bha rati,0,,,
nokrek,14,no krek,0,,,
khongji,14,khong ji,0,,,
iakhein,14,ia khein,31,,,
riewshim,14,riew shim,117,,,
jinglehbha,14,jingleh bha,17,,,
jahan,14,ja han,0,,,
jrongkti,14,jrong kti,44,,,
wadbniah,14,wad bniah,161,,,
helen,14,he len,0,,,
iakiba,14,ia kiba,2230,,,
nongshangkai,14,nongshang kai,12,,,
hakito,14,ha kito,265,,,
jingwanpoi,14,jingwan poi,66,,,
metro,14,met ro,0,,,
being,14,be ing,0,,,
iakyn,14,ia kyn,0,,,
iewta,14,iew ta,2,,,
kutsnem,14,kut snem,62,,,
lyngshop,14,lyng shop,0,,,
rhino,14,rhi no,0,,,
arbnai,14,ar bnai,152,,,
sahani,14,sah ani,0,,,
kana,14,ka na,195,,,
kaur,14,ka ur,5,,,
bymbiang,14,bym biang,107,,,
jingshongsuk,14,jingshong suk,33,,,
shongsyier,14,shong syier,21,,,
umkor,14,um kor,2,,,
janmied,14,jan mied,0,,,
khongsni,14,khong sni,0,,,
kiewdor,14,kiew dor,59,,,
pynbunkam,14,pynbun kam,2,,,
mupyut,14,mu pyut,0,,,
rama,14,ra ma,0,,,
iakyrshan,14,ia kyrshan,20,,,
laitmawsiang,14,lait mawsiang,0,,,
dulong,14,du long,0,,,
jingslap,14,jing slap,0,,,
jingneh,14,jing neh,0,,,
pynpulom,14,pyn pulom,3,,,
laitphlang,14,lait phlang,0,,,
jingiphuh,14,jing iphuh,0,,,
tyngkrei,14,tyng krei,0,,,
shanniah,14,shan niah,0,,,
trailer,14,trai ler,0,,,
nongkharai,14,nong kharai,0,,,
making,14,ma king,0,,,
pynjngai,14,pyn jngai,0,,,
iakhana,14,ia khana,25,,,
judo,14,ju do,0,,,
pilangku,14,pilang ku,0,,,
iashongkha,14,ia shongkha,30,,,
shanmu,14,shan mu,0,,,
khlursing,14,khlur sing,10,,,
jingtam,14,jing tam,2,,,
jaipur,14,jai pur,0,,,
jingkyndang,14,jing kyndang,0,,,
neima,14,nei ma,0,,,
jingpynsahteng,14,jingpynsah teng,0,,,
iohei,14,ioh ei,56,,,
jinglam,14,jing lam,4,,,
amur,14,am ur,0,,,
khangdam,14,khang dam,22,,,
kiwa,14,ki wa,6,,,
pohlong,14,poh long,0,,,
bakmen,14,ba kmen,28,,,
hering,14,he ring,0,,,
milan,14,mi lan,0,,,
itriem,14,i triem,8,,,
sumarlang,14,sumar lang,0,,,
motdur,14,mot dur,16,,,
mawten,14,maw ten,0,,,
umsalait,14,um salait,0,,,
muthu,14,mu thu,0,,,
khangweng,14,khang weng,0,,,
donna,14,don na,133,,,
hour,13,ho ur,0,,,
nangai,13,na ngai,0,,,
pynkham,13,pyn kham,2,,,
shanbok,13,shan bok,0,,,
jatalong,13,jat along,0,,,
batista,13,ba tista,0,,,
jingpynthud,13,jingpyn thud,0,,,
winning,13,win ning,0,,,
amareh,13,ama reh,0,,,
sharad,13,sha rad,0,,,
better,13,bet ter,0,,,
baphyrnai,13,ba phyrnai,26,,,
pain,13,pa in,0,,,
parabangeit,13,para bangeit,21,,,
kanpur,13,kan pur,6,,,
sapna,13,sap na,3,,,
nartap,13,nar tap,0,,,
baniun,13,ba niun,0,,,
deiti,13,dei ti,0,,,
shala,13,sha la,276,,,
meisan,13,mei san,0,,,
khariong,13,khar iong,0,,,
mihnoh,13,mih noh,580,,,
pynsngewtynnad,13,pynsngew tynnad,11,,,
pynhiardor,13,pynhiar dor,58,,,
niewtrep,13,niew trep,0,,,
mawkynring,13,maw kynring,0,,,
kida,13,ki da,518,,,
menshohnoh,13,men shohnoh,0,,,
beinbsah,13,bein bsah,0,,,
nakine,13,na kine,377,,,
niom,13,ni om,0,,,
matter,13,mat ter,0,,,
nongprat,13,nong prat,2,,,
marshiteng,13,mar shiteng,88,,,
sopsop,13,sop sop,146,,,
helmet,13,he lmet,0,,,
khatwei,13,khat wei,0,,,
rangba,13,rang ba,4,,,
bawan,13,ba wan,634,,,
jingseisoh,13,jing seisoh,5,,,
umktieh,13,um ktieh,6,,,
barman,13,bar man,0,,,
muni,13,mu ni,0,,,
jinglehrai,13,jingleh rai,0,,,
kashyap,13,ka shyap,0,,,
bahkhlieh,13,bah khlieh,53,,,
pratap,13,pra tap,0,,,
wako,13,wa ko,0,,,
dongwah,13,dong wah,0,,,
sohshkor,13,soh shkor,4,,,
ohnong,13,oh nong,0,,,
soping,13,sop ing,2,,,
bormet,13,bor met,55,,,
nongknia,13,nong knia,0,,,
mawa,13,ma wa,0,,,
jingpynshit,13,jingpyn shit,0,,,
huam,13,hu am,0,,,
jingbylla,13,jing bylla,2,,,
jingrhah,13,jing rhah,2,,,
pynehrngiew,13,pyneh rngiew,41,,,
kharshong,13,khar shong,0,,,
pynsahnam,13,pynsah nam,18,,,
lumsyntiew,13,lum syntiew,0,,,
lumkya,13,lum kya,0,,,
mawkliaw,13,maw kliaw,0,,,
hari,13,ha ri,1515,,,
umpjah,13,um pjah,4,,,
airong,13,ai rong,25,,,
karim,13,ka rim,2,,,
kharbamon,13,khar bamon,0,,,
nangi,13,na ngi,69,,,
trangblang,13,trang blang,0,,,
jingpynbiej,13,jing pynbiej,0,,,
krensang,13,kren sang,2,,,
thieddieng,13,thied dieng,4,,,
khladnoh,13,khlad noh,804,,,
moto,13,mo to,0,,,
milian,13,mi lian,0,,,
langdoh,13,lang doh,0,,,
lamih,13,la mih,2172,,,
thohmut,13,thoh mut,0,,,
jamia,13,jam ia,83,,,
rangshken,13,rang shken,0,,,
thohmat,13,thoh mat,0,,,
anla,13,an la,0,,,
mawkyrnot,13,maw kyrnot,0,,,
mawpen,13,maw pen,0,,,
jingbuaid,13,jing buaid,2,,,
kemrang,13,kem rang,0,,,
kwaiar,13,kwai ar,0,,,
pattern,13,pat tern,0,,,
jingthur,13,jing thur,0,,,
bada,13,ba da,200,,,
aisail,13,aisa il,0,,,
mawkhlam,13,maw khlam,0,,,
sngewmon,12,sngew mon,15,,,
durut,12,du rut,0,,,
lashi,12,la shi,57,,,
thangsning,12,thang sning,0,,,
paswet,12,pa swet,0,,,
emlang,12,em lang,0,,,
muksor,12,muk sor,0,,,
timing,12,tim ing,0,,,
bharti,12,bhar ti,0,,,
iapeit,12,ia peit,121,,,
nongmareh,12,nong mareh,0,,,
tein,12,te in,3,,,
khunruit,12,khun ruit,3,,,
jingibein,12,jing ibein,2,,,
parade,12,par ade,0,,,
mawdon,12,maw don,0,,,
jingngam,12,jing ngam,2,,,
jingtreishitom,12,jingtrei shitom,187,,,
miah,12,mi ah,0,,,
pramod,12,pram od,0,,,
urksew,12,ur ksew,0,,,
jinghukum,12,jing hukum,0,,,
nongbuaid,12,nong buaid,0,,,
parari,12,par ari,0,,,
jingoh,12,ji ngoh,0,,,
bamdoh,12,bam doh,115,,,
been,12,be en,0,,,
pushe,12,pu she,0,,,
rongram,12,rong ram,0,,,
salah,12,sa lah,98,,,
napkin,12,nap kin,0,,,
ithiang,12,i thiang,0,,,
donnam,12,don nam,13,,,
woman,12,wo man,0,,,
pyndkhaw,12,pyn dkhaw,0,,,
shajngai,12,sha jngai,51,,,
staising,12,stai sing,0,,,
bakin,12,ba kin,6516,,,
thangshalai,12,thang shalai,0,,,
iamynjur,12,ia mynjur,81,,,
arora,12,aro ra,0,,,
shalyndet,12,sha lyndet,161,,,
nangbha,12,nang bha,27,,,
khanna,12,kh anna,0,,,
pyndenglawar,12,pyndeng lawar,0,,,
jingpynkupburom,12,jingpynkup burom,85,,,
kumari,12,kum ari,0,,,
running,12,run ning,0,,,
paidpah,12,paid pah,0,,,
leitnoh,12,leit noh,336,,,
nongsohphoh,12,nong sohphoh,0,,,
dondor,12,don dor,18,,,
iabeit,12,ia beit,42,,,
lytep,12,ly tep,0,,,
iakhap,12,ia khap,5,,,
narang,12,na rang,0,,,
rongdop,12,rong dop,0,,,
jingkynad,12,jing kynad,3,,,
teli,12,te li,0,,,
kidang,12,ki dang,1960,,,
umdu,12,um du,0,,,
manai,12,ma nai,0,,,
baniang,12,ba niang,0,,,
hawking,12,haw king,0,,,
lakha,12,la kha,316,,,
sarita,12,sar ita,0,,,
jakhong,12,ja khong,0,,,
borlang,12,bor lang,3,,,
jingbyn,12,jing byn,2,,,
pynrkhiang,12,pyn rkhiang,0,,,
dkhotmet,12,dkhot met,211,,,
lawjynriew,12,law jynriew,0,,,
shongkli,12,shong kli,87,,,
within,12,wit hin,0,,,
artaiew,12,ar taiew,142,,,
daily,12,dai ly,0,,,
nongpynjot,12,nong pynjot,3,,,
mawit,12,ma wit,0,,,
noida,12,noi da,0,,,
shyiengkrung,12,shyieng krung,4,,,
jropsing,12,jrop sing,6,,,
wahrew,12,wah rew,0,,,
karma,12,kar ma,0,,,
jingsong,12,jing song,0,,,
punji,12,pun ji,0,,,
sonidan,12,soni dan,0,,,
jingiohkem,12,jingioh kem,23,,,
shongdie,12,shong die,71,,,
jyla,12,jy la,0,,,
iatakhuh,12,ia takhuh,6,,,
lumjingtep,12,lum jingtep,149,,,
shrine,12,shri ne,0,,,
kibriew,12,ki briew,8251,,,
sniehkhlieh,12,snieh khlieh,3,,,
momo,12,mo mo,0,,,
rali,12,ra li,0,,,
jingpynphai,12,jing pynphai,4,,,
sanker,12,san ker,0,,,
mawshut,12,maw shut,0,,,
suhlang,12,suh lang,8,,,
ehrngiew,12,eh rngiew,4,,,
tiehbah,12,tieh bah,0,,,
shonglok,12,shong lok,10,,,
kipulit,12,ki pulit,7284,,,
klinker,12,klin ker,0,,,
papeng,12,pap eng,0,,,
porkut,12,por kut,0,,,
tynghor,12,tyng hor,0,,,
iban,12,i ban,26,,,
umblai,12,um blai,0,,,
hasa,12,ha sa,0,,,
borsa,12,bor sa,0,,,
jingkrensih,12,jingkren sih,0,,,
sujit,11,su jit,0,,,
wailad,11,wai lad,0,,,
jaibynriew,11,jai bynriew,0,,,
pyniad,11,pyni ad,0,,,
lumpyllon,11,lum pyllon,8,,,
jingpynleit,11,jing pynleit,0,,,
deiwong,11,dei wong,0,,,
pynsuhjer,11,pyn suhjer,0,,,
laitjem,11,lait jem,0,,,
iakhmih,11,ia khmih,6,,,
lyntiar,11,lyn tiar,0,,,
nangsan,11,nang san,3,,,
borah,11,bo rah,0,,,
shudep,11,shu dep,284,,,
kabir,11,ka bir,5,,,
jaba,11,ja ba,4,,,
shongkhop,11,shong khop,18,,,
winter,11,win ter,0,,,
tuppia,11,tup pia,0,,,
nongshram,11,nong shram,0,,,
bamynta,11,ba mynta,1119,,,
lehsniew,11,leh sniew,16,,,
manohar,11,mano har,0,,,
jingmaian,11,jing maian,0,,,
bymkhuid,11,bym khuid,16,,,
mansan,11,man san,0,,,
honda,11,hon da,0,,,
mathura,11,mat hura,0,,,
maneka,11,man eka,0,,,
jingiohlum,11,jingioh lum,68,,,
aidem,11,ai dem,2,,,
look,11,lo ok,0,,,
nongsning,11,nong sning,0,,,
pynsyrtok,11,pyn syrtok,0,,,
kyrshanbor,11,kyrshan bor,6,,,
indo,11,in do,0,,,
ranger,11,ra nger,0,,,
sangti,11,sang ti,0,,,
iaieid,11,ia ieid,39,,,
arspah,11,ar spah,8,,,
kale,11,ka le,0,,,
nero,11,ne ro,0,,,
kapur,11,ka pur,10,,,
same,11,sa me,0,,,
iasylla,11,ia sylla,21,,,
nahi,11,na hi,0,,,
pynngiah,11,pyn ngiah,0,,,
nakaba,11,na kaba,380,,,
wadajied,11,wa dajied,0,,,
shukla,11,shu kla,0,,,
samhoi,11,sam hoi,0,,,
wood,11,wo od,0,,,
lumpyngngad,11,lum pyngngad,0,,,
laitum,11,lai tum,0,,,
lumkseh,11,lum kseh,0,,,
kamdon,11,kam don,1956,,,
ribok,11,ri bok,0,,,
jingsngewsynei,11,jing sngewsynei,0,,,
sangha,11,sang ha,16,,,
buittuh,11,buit tuh,31,,,
jingkitkhia,11,jing kitkhia,2,,,
nongwai,11,nong wai,0,,,
khambniah,11,kham bniah,141,,,
pynskhemlang,11,pynskhem lang,0,,,
kartik,11,kar tik,0,,,
sinai,11,si nai,0,,,
pohsnem,11,poh snem,0,,,
lymphuid,11,lym phuid,0,,,
umngap,11,um ngap,10,,,
tongseng,11,tong seng,0,,,
ishongkun,11,i shongkun,7,,,
bahok,11,ba hok,10,,,
badonkam,11,ba donkam,345,,,
jingnangkiew,11,jingnang kiew,11,,,
jatah,11,ja tah,0,,,
hakano,11,ha kano,587,,,
athoh,11,at hoh,0,,,
shulong,11,shu long,147,,,
birkin,11,bir kin,0,,,
pynsynjor,11,pyn synjor,0,,,
apil,11,ap il,0,,,
kaset,11,ka set,4,,,
shining,11,shi ning,0,,,
jingkiengjri,11,jingkieng jri,40,,,
mewan,11,me wan,6,,,
sohpdok,11,soh pdok,0,,,
boris,11,bor is,0,,,
jamil,11,jam il,0,,,
beti,11,be ti,0,,,
iashun,11,ia shun,8,,,
jingpynpoi,11,jing pynpoi,0,,,
pynkylluid,11,pyn kylluid,0,,,
pynpar,11,pyn par,2,,,
seinraij,11,sein raij,128,,,
banker,11,ban ker,110,,,
ohlad,11,oh lad,17,,,
lalah,11,la lah,1937,,,
kyrdum,11,kyr dum,0,,,
thungdieng,11,thung dieng,40,,,
kenbah,11,ken bah,0,,,
jingaikhublei,11,jingai khublei,33,,,
jingpynsawa,11,jingpyn sawa,0,,,
rngaid,11,rnga id,0,,,
nongwadbniah,11,nongwad bniah,12,,,
kidaw,11,ki daw,461,,,
pynjahthait,11,pyn jahthait,0,,,
kyrdang,11,kyr dang,0,,,
pomlum,11,pom lum,0,,,
bahun,11,ba hun,2,,,
deen,11,de en,0,,,
nongkhroh,11,nong khroh,0,,,
khasai,11,kha sai,0,,,
madre,11,mad re,0,,,
wanbor,11,wan bor,0,,,
dale,11,da le,0,,,
ngait,11,nga it,0,,,
jingpynkhyllem,11,jing pynkhyllem,0,,,
rehman,11,reh man,0,,,
robin,11,ro bin,0,,,
amsu,11,am su,0,,,
nongsngi,11,nong sngi,6,,,
nangioh,11,nang ioh,48,,,
jingbanbor,11,jingban bor,2,,,
sakwang,11,sa kwang,0,,,
pyntwa,11,pyn twa,0,,,
kospel,11,ko spel,0,,,
kumu,11,ku mu,0,,,
jingkhangdam,11,jingkhang dam,21,,,
nongshongiew,11,nongshong iew,96,,,
todi,11,to di,0,,,
resettlement,11,re settlement,0,,,
sawkhmut,11,saw khmut,7,,,
bankhraw,11,ban khraw,3,,,
nongkroh,11,nong kroh,0,,,
wanpli,11,wan pli,0,,,
mawtyllup,11,maw tyllup,0,,,
iohtnga,11,ioh tnga,19,,,
binita,11,bin ita,0,,,
sngewthamula,10,sngew thamula,26,,,
usha,10,u sha,296,,,
wankit,10,wan kit,80,,,
umdap,10,um dap,0,,,
kmenlang,10,kmen lang,5,,,
sangkli,10,sang kli,0,,,
samlang,10,sam lang,3,,,
ruling,10,ru ling,0,,,
bateri,10,bate ri,0,,,
ithamula,10,i thamula,9,,,
jingkhap,10,jing khap,0,,,
umrynjah,10,um rynjah,0,,,
nongpyntip,10,nong pyntip,0,,,
wanlem,10,wan lem,0,,,
sngewskhem,10,sngew skhem,19,,,
kite,10,ki te,17,,,
iohsei,10,ioh sei,65,,,
imslem,10,im slem,12,,,
atta,10,at ta,0,,,
jinglehbor,10,jingleh bor,4,,,
pyniohkam,10,pynioh kam,35,,,
saron,10,sa ron,10,,,
khongwet,10,khong wet,0,,,
wanstep,10,wan step,0,,,
suklang,10,su klang,0,,,
dalit,10,da lit,0,,,
barem,10,ba rem,21,,,
jingbymngeit,10,jingbym ngeit,0,,,
habaroh,10,ha baroh,981,,,
darshan,10,dar shan,0,,,
baling,10,ba ling,0,,,
porla,10,por la,223,,,
kharduit,10,khar duit,0,,,
here,10,he re,0,,,
manly,10,man ly,0,,,
paidbha,10,paid bha,2,,,
holding,10,ho lding,0,,,
jingbunbriew,10,jingbun briew,63,,,
tola,10,to la,2,,,
pynlum,10,pyn lum,0,,,
tour,10,to ur,0,,,
samir,10,sa mir,0,,,
jingbymler,10,jingbym ler,34,,,
singha,10,sing ha,24,,,
nongshondur,10,nongshon dur,3,,,
jingpynitynnad,10,jingpyni tynnad,0,,,
iaphai,10,ia phai,17,,,
pynsarong,10,pyn sarong,0,,,
lumbah,10,lum bah,8,,,
jingsait,10,jing sait,2,,,
ingskul,10,ing skul,49,,,
pynkhien,10,pyn khien,0,,,
bathoin,10,bat hoin,0,,,
jingpyndem,10,jing pyndem,2,,,
sanmiet,10,san miet,2,,,
hakawei,10,ha kawei,2093,,,
budien,10,bu dien,0,,,
iajied,10,ia jied,34,,,
bahap,10,ba hap,412,,,
pyniohnong,10,pyn iohnong,0,,,
synioh,10,syn ioh,6,,,
nonglwai,10,nong lwai,0,,,
jubanlak,10,juban lak,5,,,
jingpeitngor,10,jing peitngor,3,,,
jaitniam,10,jait niam,49,,,
rhembor,10,rhem bor,0,,,
jingkdup,10,jing kdup,2,,,
iaphet,10,ia phet,36,,,
sahram,10,sah ram,10,,,
amlympiang,10,am lympiang,0,,,
jingpynjynsur,10,jing pynjynsur,3,,,
pynurkba,10,pynur kba,0,,,
mani,10,ma ni,0,,,
bore,10,bo re,0,,,
kyrsian,10,kyr sian,0,,,
aboh,10,ab oh,0,,,
bairung,10,bai rung,63,,,
ksanlah,10,ksan lah,0,,,
took,10,to ok,0,,,
role,10,ro le,0,,,
jinglyngoh,10,jing lyngoh,0,,,
sngewburom,10,sngew burom,16,,,
dangdon,10,dang don,1321,,,
wanpher,10,wan pher,0,,,
jingshondur,10,jingshon dur,12,,,
kakam,10,ka kam,8617,,,
ingkashari,10,ing kashari,34,,,
thunder,10,thun der,0,,,
aida,10,ai da,459,,,
siejiong,10,siej iong,0,,,
riewkai,10,riew kai,0,,,
rongpi,10,rong pi,0,,,
katlah,10,kat lah,6,,,
phangpdeng,10,phang pdeng,42,,,
manosha,10,mano sha,0,,,
pynsyllang,10,pyn syllang,0,,,
iongpiah,10,iong piah,0,,,
mode,10,mo de,0,,,
treishitom,10,trei shitom,476,,,
mawsyn,10,maw syn,0,,,
sngewkyndit,10,sngew kyndit,29,,,
maiong,10,ma iong,0,,,
jingshongkurim,10,jing shongkurim,0,,,
kynjatshai,10,kynjat shai,8,,,
jingshongsyier,10,jingshong syier,26,,,
pamshong,10,pam shong,0,,,
persara,10,per sara,0,,,
mamit,10,mam it,0,,,
kajingjia,10,ka jingjia,4093,,,
mawskei,10,maw skei,0,,,
shitylli,10,shi tylli,3,,,
sengbha,10,seng bha,3,,,
kamtrai,10,kam trai,125,,,
pynsuki,10,pyn suki,3,,,
shkenpyrsit,10,shken pyrsit,0,,,
haruh,10,ha ruh,6,,,
hong,10,ho ng,0,,,
khongbeh,10,khong beh,0,,,
baitynnat,10,ba itynnat,13,,,
khadwai,10,khad wai,0,,,
merit,10,me rit,0,,,
pynden,10,pyn den,0,,,
janong,10,ja nong,0,,,
diat,10,di at,0,,,
jingthom,10,jing thom,2,,,
bahynriew,10,ba hynriew,31,,,
jingpyndonburom,10,jing pyndonburom,0,,,
linter,10,lin ter,0,,,
longjait,10,long jait,3,,,
badki,10,bad ki,16565,,,
ksuidtan,10,ksuid tan,0,,,
tiensih,10,tien sih,3,,,
umtrai,10,um trai,0,,,
mawu,10,maw u,28,,,
pynrhem,10,pyn rhem,0,,,
jingshahthang,10,jingshah thang,27,,,
desai,10,de sai,0,,,
khamkloi,10,kham kloi,165,,,
direk,10,di rek,0,,,
kynthuplang,10,kynthup lang,93,,,
jingpulom,10,jing pulom,0,,,
sniewdur,10,sniew dur,6,,,
momen,10,mo men,0,,,
pynshongkun,10,pyn shongkun,0,,,
thiedsnam,10,thied snam,17,,,
bikram,10,bik ram,0,,,
labet,10,la bet,7,,,
nampui,10,nam pui,0,,,
sujata,10,su jata,0,,,
khatphra,10,khat phra,0,,,
paham,10,pa ham,0,,,
wanbok,10,wan bok,0,,,
daistong,10,dai stong,0,,,
jakarta,10,ja karta,0,,,
warsan,10,war san,4,,,
mukhap,10,mu khap,0,,,
sohbaingon,10,soh baingon,0,,,
jingaiwai,10,jingai wai,7,,,
otdieng,10,ot dieng,39,,,
monsngewbha,10,mon sngewbha,90,,,
kongong,10,ko ngong,0,,,
themmetor,10,them metor,133,,,
iehbei,10,ieh bei,0,,,
umpher,10,um pher,0,,,
rongsak,10,rong sak,0,,,
noin,10,no in,0,,,
bhatia,10,bhat ia,0,,,
donborlang,10,donbor lang,0,,,
mangu,10,mang u,0,,,
aswa,10,as wa,0,,,
wasan,10,wa san,0,,,
tengsak,10,teng sak,0,,,
ramani,10,ram ani,0,,,
nahar,10,na har,0,,,
jongpha,7,jong pha,51,,split,ruled by the project's Khasi speaker: the spaced form is correct (below the generator's count floor)
